Question,Answer
What is the Genre of The Lord of the Rings: The Two Towers?,"The Lord of the Rings: The Two Towers is of Action, Adventure, Drama genre. Summary: While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Who is the Director of The Lord of the Rings: The Two Towers?,"The Director of The Lord of the Rings: The Two Towers is Peter Jackson. Summary: While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
What is the IMDB Rating of The Lord of the Rings: The Two Towers?,"The IMDB Rating of The Lord of the Rings: The Two Towers is 8.7. Summary: While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
What is the Runtime of The Lord of the Rings: The Two Towers?,"The Runtime of The Lord of the Rings: The Two Towers is 179. Summary: While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
What is the Genre of The Matrix?,"The Matrix is of Action, Sci-Fi genre. Summary: When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Who is the Director of The Matrix?,"The Director of The Matrix is Lana Wachowski. Summary: When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
What is the IMDB Rating of The Matrix?,"The IMDB Rating of The Matrix is 8.7. Summary: When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
What is the Runtime of The Matrix?,"The Runtime of The Matrix is 136. Summary: When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
What is the Genre of Goodfellas?,"Goodfellas is of Biography, Crime, Drama genre. Summary: The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
Who is the Director of Goodfellas?,"The Director of Goodfellas is Martin Scorsese. Summary: The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
What is the IMDB Rating of Goodfellas?,"The IMDB Rating of Goodfellas is 8.7. Summary: The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
What is the Runtime of Goodfellas?,"The Runtime of Goodfellas is 146. Summary: The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
What is the Genre of Star Wars: Episode V - The Empire Strikes Back?,"Star Wars: Episode V - The Empire Strikes Back is of Action, Adventure, Fantasy genre. Summary: After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
Who is the Director of Star Wars: Episode V - The Empire Strikes Back?,"The Director of Star Wars: Episode V - The Empire Strikes Back is Irvin Kershner. Summary: After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
What is the IMDB Rating of Star Wars: Episode V - The Empire Strikes Back?,"The IMDB Rating of Star Wars: Episode V - The Empire Strikes Back is 8.7. Summary: After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
What is the Runtime of Star Wars: Episode V - The Empire Strikes Back?,"The Runtime of Star Wars: Episode V - The Empire Strikes Back is 124. Summary: After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
What is the Genre of One Flew Over the Cuckoo's Nest?,"One Flew Over the Cuckoo's Nest is of Drama genre. Summary: A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
Who is the Director of One Flew Over the Cuckoo's Nest?,"The Director of One Flew Over the Cuckoo's Nest is Milos Forman. Summary: A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
What is the IMDB Rating of One Flew Over the Cuckoo's Nest?,"The IMDB Rating of One Flew Over the Cuckoo's Nest is 8.7. Summary: A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
What is the Runtime of One Flew Over the Cuckoo's Nest?,"The Runtime of One Flew Over the Cuckoo's Nest is 133. Summary: A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
What is the Genre of Hamilton?,"Hamilton is of Biography, Drama, History genre. Summary: The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Who is the Director of Hamilton?,"The Director of Hamilton is Thomas Kail. Summary: The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
What is the IMDB Rating of Hamilton?,"The IMDB Rating of Hamilton is 8.6. Summary: The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
What is the Runtime of Hamilton?,"The Runtime of Hamilton is 160. Summary: The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
What is the Genre of Gisaengchung?,"Gisaengchung is of Comedy, Drama, Thriller genre. Summary: Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
Who is the Director of Gisaengchung?,The Director of Gisaengchung is Bong Joon Ho. Summary: Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
What is the IMDB Rating of Gisaengchung?,The IMDB Rating of Gisaengchung is 8.6. Summary: Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
What is the Runtime of Gisaengchung?,The Runtime of Gisaengchung is 132. Summary: Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
What is the Genre of Soorarai Pottru?,"Soorarai Pottru is of Drama genre. Summary: Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
Who is the Director of Soorarai Pottru?,"The Director of Soorarai Pottru is Sudha Kongara. Summary: Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
What is the IMDB Rating of Soorarai Pottru?,"The IMDB Rating of Soorarai Pottru is 8.6. Summary: Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
What is the Runtime of Soorarai Pottru?,"The Runtime of Soorarai Pottru is 153. Summary: Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
What is the Genre of Interstellar?,"Interstellar is of Adventure, Drama, Sci-Fi genre. Summary: A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
Who is the Director of Interstellar?,The Director of Interstellar is Christopher Nolan. Summary: A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
What is the IMDB Rating of Interstellar?,The IMDB Rating of Interstellar is 8.6. Summary: A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
What is the Runtime of Interstellar?,The Runtime of Interstellar is 169. Summary: A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
What is the Genre of Cidade de Deus?,"Cidade de Deus is of Crime, Drama genre. Summary: In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Who is the Director of Cidade de Deus?,"The Director of Cidade de Deus is Fernando Meirelles. Summary: In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
What is the IMDB Rating of Cidade de Deus?,"The IMDB Rating of Cidade de Deus is 8.6. Summary: In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
What is the Runtime of Cidade de Deus?,"The Runtime of Cidade de Deus is 130. Summary: In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
What is the Genre of Sen to Chihiro no kamikakushi?,"Sen to Chihiro no kamikakushi is of Animation, Adventure, Family genre. Summary: During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
Who is the Director of Sen to Chihiro no kamikakushi?,"The Director of Sen to Chihiro no kamikakushi is Hayao Miyazaki. Summary: During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
What is the IMDB Rating of Sen to Chihiro no kamikakushi?,"The IMDB Rating of Sen to Chihiro no kamikakushi is 8.6. Summary: During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
What is the Runtime of Sen to Chihiro no kamikakushi?,"The Runtime of Sen to Chihiro no kamikakushi is 125. Summary: During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
What is the Genre of Saving Private Ryan?,"Saving Private Ryan is of Drama, War genre. Summary: Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Who is the Director of Saving Private Ryan?,"The Director of Saving Private Ryan is Steven Spielberg. Summary: Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
What is the IMDB Rating of Saving Private Ryan?,"The IMDB Rating of Saving Private Ryan is 8.6. Summary: Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
What is the Runtime of Saving Private Ryan?,"The Runtime of Saving Private Ryan is 169. Summary: Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
What is the Genre of The Green Mile?,"The Green Mile is of Crime, Drama, Fantasy genre. Summary: The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Who is the Director of The Green Mile?,"The Director of The Green Mile is Frank Darabont. Summary: The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
What is the IMDB Rating of The Green Mile?,"The IMDB Rating of The Green Mile is 8.6. Summary: The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
What is the Runtime of The Green Mile?,"The Runtime of The Green Mile is 189. Summary: The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
What is the Genre of La vita è bella?,"La vita è bella is of Comedy, Drama, Romance genre. Summary: When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Who is the Director of La vita è bella?,"The Director of La vita è bella is Roberto Benigni. Summary: When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
What is the IMDB Rating of La vita è bella?,"The IMDB Rating of La vita è bella is 8.6. Summary: When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
What is the Runtime of La vita è bella?,"The Runtime of La vita è bella is 116. Summary: When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
What is the Genre of Se7en?,"Se7en is of Crime, Drama, Mystery genre. Summary: Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Who is the Director of Se7en?,"The Director of Se7en is David Fincher. Summary: Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
What is the IMDB Rating of Se7en?,"The IMDB Rating of Se7en is 8.6. Summary: Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
What is the Runtime of Se7en?,"The Runtime of Se7en is 127. Summary: Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
What is the Genre of The Silence of the Lambs?,"The Silence of the Lambs is of Crime, Drama, Thriller genre. Summary: A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Who is the Director of The Silence of the Lambs?,"The Director of The Silence of the Lambs is Jonathan Demme. Summary: A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
What is the IMDB Rating of The Silence of the Lambs?,"The IMDB Rating of The Silence of the Lambs is 8.6. Summary: A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
What is the Runtime of The Silence of the Lambs?,"The Runtime of The Silence of the Lambs is 118. Summary: A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
What is the Genre of Star Wars?,"Star Wars is of Action, Adventure, Fantasy genre. Summary: Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Who is the Director of Star Wars?,"The Director of Star Wars is George Lucas. Summary: Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
What is the IMDB Rating of Star Wars?,"The IMDB Rating of Star Wars is 8.6. Summary: Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
What is the Runtime of Star Wars?,"The Runtime of Star Wars is 121. Summary: Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
What is the Genre of Seppuku?,"Seppuku is of Action, Drama, Mystery genre. Summary: When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Who is the Director of Seppuku?,"The Director of Seppuku is Masaki Kobayashi. Summary: When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
What is the IMDB Rating of Seppuku?,"The IMDB Rating of Seppuku is 8.6. Summary: When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
What is the Runtime of Seppuku?,"The Runtime of Seppuku is 133. Summary: When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
What is the Genre of Shichinin no samurai?,"Shichinin no samurai is of Action, Adventure, Drama genre. Summary: A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves."
Who is the Director of Shichinin no samurai?,The Director of Shichinin no samurai is Akira Kurosawa. Summary: A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
What is the IMDB Rating of Shichinin no samurai?,The IMDB Rating of Shichinin no samurai is 8.6. Summary: A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
What is the Runtime of Shichinin no samurai?,The Runtime of Shichinin no samurai is 207. Summary: A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
What is the Genre of It's a Wonderful Life?,"It's a Wonderful Life is of Drama, Family, Fantasy genre. Summary: An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
Who is the Director of It's a Wonderful Life?,The Director of It's a Wonderful Life is Frank Capra. Summary: An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
What is the IMDB Rating of It's a Wonderful Life?,The IMDB Rating of It's a Wonderful Life is 8.6. Summary: An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
What is the Runtime of It's a Wonderful Life?,The Runtime of It's a Wonderful Life is 130. Summary: An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
What is the Genre of Joker?,"Joker is of Crime, Drama, Thriller genre. Summary: In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
Who is the Director of Joker?,"The Director of Joker is Todd Phillips. Summary: In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
What is the IMDB Rating of Joker?,"The IMDB Rating of Joker is 8.5. Summary: In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
What is the Runtime of Joker?,"The Runtime of Joker is 122. Summary: In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
